Cadena,1 ​,2 ​,3 ​,4 ​,5 ​,6 ​,7 ​,8 ​,9 ​,10 ​,11 ​,12 ​,13 ​,14 ​,15 ​,16 ​,17 ​,18 ​,19 ​,20 ​,21 ​,22 ​,23 ​,24 ​,25 ​,26 ​,27 ​,28 ​,29 ​,30 ​,31 ​,Media mensual
La 1,"7,5%","7,2%","7,8%","7,7%","7,2%","8,6%","9,2%","7,4%","7,3%","8,0%","7,5%","9,0%","10,0%","8,6%","8,2%","7,3%","7,9%","8,0%","7,4%","8,0%","7,9%","7,7%","7,3%","8,0%","8,2%","8,2%","9,6%","9,6%","7,8%","8,0%","8,5%","8,1%"
Antena 3,"13,9%","14,0%","13,8%","13,8%","13,8%","11,2%","11,5%","14,7%","14,8%","13,1%","14,6%","13,4%","11,7%","11,9%","12,0%","14,8%","14,0%","14,2%","13,7%","12,7%","11,8%","14,6%","14,9%","13,2%","14,5%","14,2%","10,5%","10,9%","14,1%","14,5%","13,5%","13,4%"
Telecinco,"12,3%","11,8%","12,0%","12,5%","12,9%","10,4%","9,6%","11,2%","11,5%","10,5%","11,1%","11,0%","9,3%","8,9%","9,3%","11,3%","11,2%","10,9%","12,1%","9,9%","10,2%","10,1%","11,0%","12,2%","10,6%","12,2%","10,4%","10,7%","11,6%","11,4%","10,9%","11,0%"
Cuatro,"4,5%","5,0%","5,1%","4,4%","4,4%","5,2%","5,7%","5,2%","4,5%","4,6%","4,8%","4,4%","4,9%","5,4%","5,7%","4,4%","4,7%","4,9%","4,3%","5,5%","4,9%","4,9%","5,2%","4,5%","4,9%","4,1%","5,4%","5,1%","4,8%","4,4%","4,6%","4,9%"
La Sexta,"5,9%","5,5%","5,5%","5,3%","5,4%","4,6%","4,3%","5,8%","5,8%","5,8%","5,5%","5,5%","4,6%","4,1%","4,3%","5,4%","6,1%","5,2%","5,6%","4,1%","4,7%","6,0%","5,3%","5,9%","5,2%","5,4%","4,6%","4,2%","5,4%","4,9%","5,8%","5,2%"
La 2,"4,1%","4,3%","2,8%","3,1%","3,4%","2,8%","3,7%","3,7%","4,2%","3,6%","3,7%","3,1%","2,9%","2,9%","3,0%","3,9%","3,6%","2,9%","3,3%","2,7%","2,9%","3,7%","4,3%","3,8%","3,2%","3,0%","2,7%","3,1%","3,6%","4,0%","2,9%","3,4%"
Clan,"0,9%","0,9%","0,9%","0,9%","1,1%","0,9%","0,7%","1,0%","0,8%","1,1%","0,7%","0,9%","0,9%","0,7%","0,8%","0,8%","1,1%","0,8%","0,8%","1,1%","1,1%","1,0%","1,0%","0,8%","0,9%","0,8%","1,0%","0,9%","1,0%","0,9%","1,0%","0,9%"
24 horas,"0,9%","1,0%","0,9%","0,9%","0,9%","1,1%","1,1%","1,0%","1,1%","0,9%","0,9%","0,9%","1,5%","1,3%","1,1%","0,9%","0,7%","0,8%","0,9%","1,0%","1,0%","0,8%","0,8%","0,8%","0,7%","0,8%","1,1%","1,0%","0,7%","0,7%","0,9%","0,9%"
TDP,"0,5%","0,8%","0,7%","0,9%","0,8%","1,3%","1,0%","0,6%","0,6%","0,6%","0,7%","0,7%","0,8%","1,0%","1,4%","1,4%","1,6%","1,5%","1,4%","2,0%","1,8%","0,9%","1,0%","1,3%","1,2%","1,3%","1,8%","1,3%","0,7%","0,8%","0,9%","1,1%"
Neox,"1,9%","1,9%","2,4%","1,8%","2,1%","1,8%","1,8%","1,8%","1,9%","1,8%","1,9%","1,8%","1,9%","2,4%","2,8%","2,0%","1,8%","2,2%","2,0%","2,0%","1,8%","1,9%","1,6%","1,8%","2,2%","1,9%","2,5%","2,1%","1,6%","1,5%","2,0%","2,0%"
Nova,"2,3%","2,6%","2,4%","2,6%","2,6%","1,8%","1,4%","2,5%","2,8%","2,6%","2,4%","2,6%","1,6%","1,7%","2,4%","2,4%","2,3%","2,5%","2,3%","1,7%","1,8%","2,3%","2,5%","2,3%","2,6%","2,5%","1,8%","1,4%","2,3%","2,7%","2,4%","2,3%"
Mega,"1,4%","1,2%","1,3%","1,1%","1,4%","1,4%","1,6%","1,4%","1,5%","1,7%","1,6%","1,4%","1,5%","1,9%","1,3%","1,6%","1,5%","1,6%","1,3%","1,2%","1,7%","1,7%","1,4%","1,5%","1,4%","1,4%","1,4%","1,7%","1,6%","1,4%","1,6%","1,5%"
Atreseries,"2,1%","1,6%","1,9%","1,8%","1,9%","2,4%","2,3%","1,9%","1,9%","1,9%","1,7%","1,7%","2,5%","2,4%","1,8%","1,8%","2,0%","1,8%","2,2%","2,5%","2,1%","2,2%","1,9%","2,1%","1,7%","2,0%","2,1%","2,2%","2,1%","2,1%","1,8%","2,0%"
FDF,"2,9%","2,9%","2,9%","2,8%","2,5%","2,7%","2,8%","2,7%","2,9%","2,6%","2,7%","2,6%","2,7%","3,0%","2,6%","2,6%","2,6%","2,5%","2,3%","2,6%","2,6%","2,7%","2,5%","2,5%","2,9%","2,5%","2,3%","2,7%","2,9%","2,6%","2,6%","2,7%"
Divinity,"2,8%","3,1%","3,2%","2,7%","3,2%","2,0%","2,4%","2,9%","2,9%","2,6%","2,9%","3,3%","2,1%","2,5%","2,6%","2,5%","2,5%","3,0%","2,6%","1,8%","2,2%","2,6%","2,6%","2,4%","2,5%","2,6%","1,9%","2,1%","2,4%","2,5%","2,7%","2,6%"
Energy,"2,6%","2,8%","3,0%","2,8%","2,7%","3,3%","3,0%","2,4%","3,2%","2,8%","3,2%","3,0%","3,5%","2,8%","2,8%","3,3%","2,5%","3,2%","3,4%","3,5%","3,0%","2,5%","3,2%","3,0%","3,1%","2,7%","3,2%","2,6%","2,5%","3,0%","2,8%","2,9%"
Boing,"1,1%","0,9%","1,0%","1,0%","0,8%","0,9%","0,8%","0,8%","0,7%","1,0%","1,0%","1,0%","0,9%","0,7%","0,8%","0,9%","1,0%","0,9%","1,1%","0,9%","0,7%","0,9%","1,1%","0,9%","0,8%","0,9%","1,1%","0,9%","1,0%","0,9%","1,0%","0,9%"
