Cadena,1 ​,2 ​,3 ​,4 ​,5 ​,6 ​,7 ​,8 ​,9 ​,10 ​,11 ​,12 ​,13 ​,14 ​,15 ​,16 ​,17 ​,18 ​,19 ​,20 ​,21 ​,22 ​,23 ​,24 ​,25 ​,26 ​,27 ​,28 ​,29 ​,30 ​,31 ​,Media mensual
La 1,"13,1%","9,3%","8,7%","8,5%","8,5%","12,3%","7,5%","8,3%","9,8%","9,0%","8,2%","7,7%","8,2%","7,3%","8,5%","9,4%","8,4%","7,8%","8,0%","7,5%","7,1%","8,7%","8,8%","8,3%","7,7%","8,6%","9,0%","7,2%","12,4%","11,2%","8,4%","8,9%"
Antena 3,"13,5%","11,5%","14,4%","13,2%","13,2%","12,3%","15,2%","11,6%","11,6%","14,5%","15,4%","14,5%","15,4%","15,7%","12,1%","11,7%","14,9%","15,1%","15,1%","14,5%","16,2%","13,0%","12,2%","15,2%","15,2%","15,5%","15,7%","16,4%","12,2%","11,6%","15,6%","14,0%"
Telecinco,"9,5%","10,4%","12,9%","13,4%","12,4%","9,3%","12,1%","11,5%","11,6%","13,2%","13,0%","14,1%","14,4%","15,9%","14,3%","12,8%","14,3%","15,1%","14,3%","18,0%","14,2%","13,1%","11,3%","14,1%","14,6%","13,9%","12,6%","14,2%","11,9%","12,0%","13,9%","13,1%"
Cuatro,"6,6%","5,9%","4,9%","4,5%","4,7%","5,3%","4,4%","4,8%","5,4%","5,4%","4,8%","4,7%","5,1%","4,5%","6,1%","6,4%","5,5%","4,8%","4,9%","5,5%","4,3%","5,5%","6,6%","5,3%","4,7%","5,1%","5,6%","4,4%","6,0%","5,7%","5,4%","4,9%"
La Sexta,"4,3%","4,8%","6,8%","6,4%","6,4%","5,0%","6,9%","6,1%","4,7%","7,4%","7,5%","6,6%","6,7%","6,4%","4,7%","4,2%","7,0%","7,0%","6,8%","6,7%","6,6%","4,4%","4,2%","7,6%","7,3%","6,9%","6,8%","6,5%","4,3%","4,0%","7,1%","5,2%"
La 2,"3,3%","3,3%","3,0%","3,1%","3,1%","3,4%","3,4%","2,2%","3,6%","3,5%","3,0%","3,1%","2,8%","3,0%","2,8%","3,1%","3,1%","2,8%","2,5%","2,8%","2,6%","3,0%","3,6%","3,3%","2,9%","2,6%","2,7%","2,9%","3,0%","3,0%","2,9%","3,4%"
Clan,"0,8%","1,0%","1,0%","1,2%","1,2%","0,9%","1,2%","1,3%","0,9%","0,7%","0,8%","0,9%","0,8%","1,0%","1,1%","0,9%","0,9%","0,9%","0,9%","0,7%","1,0%","1,4%","0,9%","0,8%","0,9%","0,8%","1,0%","0,9%","1,1%","0,8%","0,8%","1,0%"
24 horas,"0,9%","1,0%","0,8%","0,7%","0,8%","1,2%","0,7%","0,9%","0,9%","0,8%","0,9%","0,7%","0,9%","0,6%","1,1%","1,0%","0,8%","0,8%","0,8%","0,7%","0,7%","0,9%","0,9%","0,9%","0,8%","0,9%","0,7%","0,7%","0,9%","1,1%","0,9%","0,9%"
TDP,"0,5%","0,5%","0,6%","0,5%","0,5%","0,5%","0,5%","0,5%","0,4%","0,4%","0,4%","0,3%","0,6%","0,5%","0,7%","0,5%","0,5%","0,4%","0,6%","0,6%","0,6%","0,6%","0,8%","0,4%","0,8%","0,6%","0,3%","1,2%","0,8%","0,6%","0,3%","0,5%"
Neox,"1,9%","2,2%","2,0%","2,1%","2,4%","3,1%","2,2%","3,3%","3,1%","1,8%","1,7%","2,1%","1,7%","2,3%","2,5%","2,1%","1,9%","1,8%","1,7%","1,9%","2,1%","2,5%","2,2%","1,6%","1,7%","1,8%","1,7%","1,7%","2,2%","2,4%","1,9%","2,1%"
