Cadena,1 ​,2 ​,3 ​,4 ​,5 ​,6 ​,7 ​,8 ​,9 ​,10 ​,11 ​,12 ​,13 ​,14 ​,15 ​,16 ​,17 ​,18 ​,19 ​,20 ​,21 ​,22 ​,23 ​,24 ​,25 ​,26 ​,27 ​,28 ​,29 ​,30 ​,Media mensual
La 1,"8,7%","10,8%","6,8%","8,5%","11,4%","7,9%","7,3%","7,4%","11,0%","6,9%","8,7%","14,4%","9,4%","7,6%","6,8%","7,5%","7,0%","8,3%","7,7%","9,5%","7,5%","7,5%","7,6%","7,2%","7,9%","8,6%","9,1%","7,1%","7,1%","6,8%","8,4%"
Antena 3,"14,9%","14,7%","15,4%","11,3%","10,4%","15,2%","14,9%","15,1%","14,1%","15,0%","11,0%","10,5%","14,1%","14,7%","14,8%","14,1%","15,3%","11,2%","10,9%","14,5%","14,8%","14,5%","14,5%","14,7%","11,1%","12,2%","14,6%","15,2%","14,8%","14,5%","13,7%"
Telecinco,"12,7%","14,2%","12,0%","12,6%","12,1%","12,2%","14,7%","12,9%","14,4%","13,2%","11,1%","13,3%","11,9%","14,1%","13,2%","14,9%","14,2%","12,5%","13,1%","11,7%","14,8%","13,8%","14,9%","12,4%","12,4%","13,7%","11,5%","14,0%","12,9%","14,7%","13,2%"
Cuatro,"4,5%","4,6%","4,8%","5,7%","5,1%","4,2%","4,3%","5,0%","4,3%","5,3%","6,6%","5,8%","4,6%","4,3%","4,9%","4,6%","4,7%","6,0%","6,2%","5,0%","4,6%","4,7%","4,4%","4,4%","5,6%","6,0%","5,1%","4,3%","5,0%","4,3%","5,0%"
La Sexta,"7,0%","6,4%","6,4%","5,1%","3,5%","7,0%","7,4%","6,8%","6,4%","6,9%","4,8%","3,6%","7,2%","7,3%","7,0%","6,8%","6,7%","4,9%","5,3%","7,1%","7,0%","7,2%","6,6%","6,8%","4,9%","4,6%","6,7%","7,2%","7,2%","6,8%","6,3%"
La 2,"3,0%","2,9%","2,5%","2,6%","2,9%","3,2%","3,0%","2,9%","3,0%","2,9%","3,9%","3,4%","2,9%","3,0%","3,3%","3,1%","3,1%","3,0%","3,1%","3,3%","3,2%","3,1%","2,9%","3,0%","2,9%","3,1%","3,2%","3,4%","2,7%","2,7%","3,0%"
Clan,"1,0%","0,8%","1,0%","1,1%","1,1%","0,8%","1,0%","0,9%","0,9%","1,0%","1,2%","0,9%","0,8%","1,0%","1,1%","1,0%","0,9%","1,2%","0,9%","0,9%","0,9%","1,1%","0,8%","1,0%","1,1%","0,7%","1,1%","1,0%","1,1%","1,0%","1,0%"
24 horas,"0,8%","1,0%","0,8%","0,9%","0,8%","0,9%","1,1%","1,3%","1,0%","0,8%","1,1%","0,8%","1,1%","0,9%","1,0%","0,9%","0,8%","1,1%","1,7%","0,9%","0,9%","1,0%","0,9%","0,9%","1,0%","1,1%","1,0%","1,2%","1,2%","1,0%","1,0%"
TDP,"0,5%","0,3%","0,4%","0,5%","0,6%","0,5%","0,4%","0,4%","0,4%","0,5%","0,6%","0,6%","0,9%","0,7%","0,3%","0,3%","0,3%","0,7%","0,6%","0,5%","0,6%","0,5%","0,5%","0,8%","1,5%","0,9%","0,4%","0,6%","0,4%","0,6%","0,6%"
Neox,"1,7%","1,3%","1,7%","2,2%","2,0%","2,3%","1,5%","1,7%","1,5%","1,9%","2,1%","2,1%","1,8%","1,7%","1,7%","1,4%","1,9%","1,9%","1,9%","1,6%","1,9%","1,7%","1,7%","2,0%","2,3%","2,0%","1,6%","1,7%","1,4%","1,6%","1,8%"
Nova,"2,5%","2,4%","2,8%","1,7%","1,6%","2,3%","2,4%","2,5%","2,5%","2,6%","1,8%","1,5%","2,3%","2,7%","2,3%","2,4%","2,5%","1,6%","1,4%","2,4%","2,5%","2,8%","2,7%","2,7%","1,9%","1,6%","2,5%","2,4%","2,6%","2,6%","2,3%"
Mega,"1,4%","1,4%","1,0%","1,3%","1,2%","1,3%","1,4%","1,4%","1,3%","1,3%","1,1%","1,2%","1,3%","1,5%","1,7%","1,5%","1,4%","1,1%","1,1%","1,4%","1,4%","1,4%","1,2%","1,4%","1,3%","1,2%","1,3%","1,4%","1,3%","1,4%","1,3%"
Atreseries,"1,7%","1,6%","1,5%","2,0%","1,6%","1,5%","1,4%","1,7%","1,7%","1,7%","1,7%","1,8%","1,7%","1,6%","1,5%","1,5%","1,6%","2,0%","1,7%","1,6%","1,5%","1,5%","1,5%","1,6%","2,2%","1,9%","1,7%","1,5%","1,6%","1,5%","1,6%"
FDF,"2,7%","2,7%","2,6%","2,8%","2,5%","2,8%","2,7%","2,7%","2,5%","2,3%","3,1%","2,6%","2,8%","2,7%","3,0%","2,8%","2,7%","3,2%","2,9%","2,7%","2,6%","2,5%","3,0%","2,7%","3,1%","2,7%","2,7%","2,6%","3,0%","2,5%","2,7%"
