Cadena,1 ​,2 ​,3 ​,4 ​,5 ​,6 ​,7 ​,8 ​,9 ​,10 ​,11 ​,12 ​,13 ​,14 ​,15 ​,16 ​,17 ​,18 ​,19 ​,20 ​,21 ​,22 ​,23 ​,24 ​,25 ​,26 ​,27 ​,28 ​,29 ​,30 ​,31 ​,Media mensual
La 1,"10,0%","8,9%","7,4%","7,0%","7,3%","8,8%","11,7%","12,1%","9,7%","7,9%","7,0%","8,4%","6,7%","25,8%","9,7%","9,7%","8,1%","7,3%","7,2%","7,3%","9,0%","8,7%","9,5%","7,6%","7,8%","7,5%","6,4%","23,2%","8,6%","9,8%","6,9%","9,5%"
Antena 3,"10,4%","14,2%","14,8%","14,4%","14,6%","14,6%","11,2%","10,6%","14,7%","15,3%","14,8%","14,7%","15,7%","9,2%","11,8%","14,9%","14,6%","14,9%","14,7%","15,2%","11,4%","12,0%","14,8%","15,0%","14,3%","14,6%","15,5%","9,2%","11,2%","14,7%","14,2%","13,6%"
Telecinco,"12,4%","12,7%","14,0%","14,1%","15,8%","12,9%","12,2%","13,0%","12,5%","13,8%","14,0%","15,6%","13,6%","10,2%","13,2%","12,5%","13,8%","13,9%","15,2%","12,7%","11,5%","12,5%","12,3%","14,0%","14,6%","14,7%","12,4%","9,8%","11,6%","12,2%","13,5%","13,1%"
Cuatro,"5,4%","4,8%","4,5%","4,5%","4,6%","4,6%","5,4%","6,0%","4,6%","4,4%","4,9%","4,5%","4,8%","5,0%","5,8%","4,7%","4,7%","4,9%","4,8%","5,1%","5,6%","5,8%","4,4%","4,6%","4,9%","4,9%","4,8%","4,3%","5,3%","4,2%","3,9%","4,9%"
La Sexta,"4,8%","7,1%","6,6%","6,2%","6,2%","6,6%","4,7%","3,9%","7,3%","6,8%","6,7%","7,0%","6,9%","3,5%","3,5%","7,0%","7,0%","6,8%","6,9%","6,8%","4,4%","3,7%","7,5%","6,9%","6,6%","7,1%","6,3%","3,8%","3,3%","7,6%","8,2%","6,0%"
La 2,3.2%,"3,1%","2,7%","2,5%","2,6%","2,9%","2,4%","2,8%","3,7%","2,8%","2,8%","2,7%","3,0%","2,2%","3,1%","3,4%","2,9%","3,1%","2,8%","3,3%","3,1%","3,2%","2,7%","2,9%","2,7%","2,8%","3,4%","2,7%","3,5%","3,6%","2,7%","3,0%"
Clan,"0,8%","0,8%","0,9%","0,9%","0,7%","0,9%","1,0%","0,7%","0,9%","0,8%","0,8%","0,9%","1,0%","0,9%","0,8%","0,7%","0,9%","0,9%","1,0%","1,2%","1,2%","0,8%","0,9%","0,8%","0,8%","0,9%","1,1%","1,0%","1,0%","0,8%","1,0%","0,9%"
24 horas,"1,1%","1,0%","1,0%","0,9%","0,9%","1,0%","1,1%","1,0%","1,0%","1,0%","1,1%","1,0%","0,9%","0,8%","1,0%","1,0%","1,1%","1,1%","1,0%","0,8%","0,9%","0,9%","1,1%","0,9%","1,0%","1,3%","0,9%","1,0%","1,0%","0,8%","0,8%","1,0%"
TDP,"1,0%","1,2%","1,9%","2,1%","3,2%","1,0%","1,3%","0,7%","0,6%","0,6%","0,9%","0,9%","0,8%","0,5%","0,9%","0,5%","0,4%","0,5%","0,3%","0,4%","0,6%","0,6%","0,5%","0,4%","0,7%","0,5%","0,4%","0,3%","0,7%","0,4%","0,4%","0,8%"
Neox,"2,1%","1,7%","1,7%","1,7%","1,8%","1,6%","1,9%","1,9%","1,7%","1,9%","1,7%","1,5%","1,9%","1,6%","2,1%","1,5%","1,7%","1,7%","1,7%","1,7%","1,9%","1,7%","1,6%","1,6%","1,6%","1,5%","1,8%","1,7%","2,0%","1,4%","1,6%","1,7%"
