Cadena,1 ​,2 ​,3 ​,4 ​,5 ​,6 ​,7 ​,8 ​,9 ​,10 ​,11 ​,12 ​,13 ​,14 ​,15 ​,16 ​,17 ​,18 ​,19 ​,20 ​,21 ​,22 ​,23 ​,24 ​,25 ​,26 ​,27 ​,28 ​,29 ​,30 ​,31 ​,Media mensual
La 1,"7,7%","8,5%","10,5%","7,2%","7,3%","7,9%","7,4%","7,9%","8,3%","10,4%","7,5%","12,3%","8,7%","7,3%","7,3%","9,0%","10,1%","7,6%","8,2%","8,3%","7,1%","8,6%","8,7%","9,8%","7,3%","7,8%","8,3%","8,0%","8,5%","8,8%","9,6%","8,5%"
Antena 3,"10,9%","11,8%","15,1%","15,1%","17,8%","15,8%","15,8%","11,8%","10,7%","14,7%","14,5%","11,8%","14,8%","15,9%","11,5%","11,2%","14,9%","15,5%","16,4%","14,5%","16,0%","11,1%","12,8%","15,8%","15,9%","16,0%","15,8%","16,3%","11,8%","12,0%","14,1%","14,1%"
Telecinco,"10,7%","11,3%","12,5%","12,8%","11,6%","12,5%","12,3%","11,1%","12,0%","13,2%","13,0%","11,2%","12,7%","12,9%","12,2%","11,7%","13,6%","13,2%","12,6%","13,7%","14,2%","11,2%","11,6%","13,6%","13,4%","12,5%","12,5%","12,8%","9,6%","10,9%","12,1%","12,3%"
Cuatro,"5,8%","5,9%","5,1%","5,2%","4,7%","5,0%","4,0%","5,4%","5,4%","4,8%","5,0%","4,3%","5,1%","4,3%","5,9%","5,3%","4,7%","5,2%","4,7%","4,8%","3,8%","6,0%","5,7%","4,6%","4,6%","4,8%","4,9%","4,5%","5,1%","5,7%","4,0%","5,0%"
La Sexta,"4,7%","3,6%","6,9%","6,4%","6,4%","6,2%","6,5%","5,2%","4,9%","6,5%","6,3%","4,0%","6,3%","6,8%","5,0%","4,8%","6,2%","6,6%","6,1%","6,3%","6,4%","4,7%","4,3%","6,5%","6,7%","6,3%","6,6%","6,6%","5,0%","4,6%","5,9%","5,7%"
La 2,"3,0%","3,3%","2,9%","3,3%","2,5%","2,8%","2,8%","3,0%","2,9%","3,1%","2,6%","2,4%","2,8%","2,8%","2,9%","2,5%","2,4%","2,6%","2,5%","2,5%","3,1%","3,0%","3,0%","3,0%","2,7%","2,9%","2,7%","2,6%","2,8%","2,7%","3,6%","2,8%"
Clan,0.8%,"0,9%","0,9%","0,9%","1,0%","1,1%","1,0%","1,4%","1,0%","0,8%","1,0%","1,1%","1,1%","0,9%","1,1%","1,1%","0,9%","1,0%","1,0%","1,1%","0,9%","1,4%","0,9%","0,7%","0,9%","0,8%","0,9%","1,0%","1,0%","1,2%","1,2%","1,0%"
24 horas,"1,1%","1,2%","1,1%","1,0%","1,0%","0,9%","0,9%","1,3%","1,0%","1,0%","1,0%","1,5%","1,1%","0,9%","1,1%","1,0%","1,0%","1,3%","0,8%","1,0%","0,8%","1,0%","1,0%","0,9%","0,9%","1,1%","0,9%","0,9%","1,1%","1,3%","0,9%","1,0%"
TDP,"0,4%","0,7%","0,3%","0,4%","0,5%","0,4%","0,7%","0,6%","0,7%","0,3%","0,7%","0,4%","0,4%","0,5%","0,6%","0,6%","0,7%","0,4%","0,4%","0,4%","0,5%","0,5%","0,6%","0,4%","0,3%","0,3%","0,3%","0,3%","0,4%","0,4%","0,3%","0,5%"
Neox,"1,9%","2,1%","1,8%","1,7%","1,6%","1,6%","1,5%","2,1%","2,0%","1,7%","1,7%","1,4%","1,7%","1,9%","2,1%","1,6%","1,6%","1,5%","1,6%","1,7%","1,6%","1,9%","1,9%","1,7%","1,8%","1,6%","1,5%","1,7%","2,2%","2,5%","1,7%","1,8%"
Nova,"1,6%","1,3%","2,4%","2,4%","2,6%","2,6%","2,7%","1,5%","1,1%","2,3%","2,4%","2,0%","2,6%","2,3%","1,5%","1,0%","2,4%","2,6%","2,9%","2,6%","2,5%","1,6%","1,2%","2,3%","2,4%","2,7%","2,7%","2,7%","1,4%","1,1%","2,8%","2,1%"
Mega,"1,5%","1,9%","1,0%","1,3%","1,2%","1,1%","1,3%","1,0%","1,6%","1,1%","1,2%","1,4%","1,3%","1,1%","1,4%","2,2%","1,9%","1,3%","1,2%","1,1%","1,0%","1,1%","1,8%","1,1%","1,1%","1,4%","1,4%","1,0%","1,3%","1,6%","1,1%","1,3%"
Atreseries,"2,0%","2,1%","1,6%","1,5%","1,4%","1,5%","1,9%","2,0%","1,9%","1,5%","1,5%","1,5%","1,5%","1,7%","1,9%","1,9%","1,7%","1,6%","1,5%","1,5%","1,8%","1,7%","1,7%","1,4%","1,4%","1,6%","1,5%","2,0%","2,0%","1,8%","1,4%","1,7%"
FDF,"2,3%","2,3%","2,3%","2,1%","1,8%","2,1%","2,1%","2,2%","2,1%","2,6%","2,2%","2,2%","2,5%","2,1%","2,3%","2,5%","2,3%","2,2%","2,3%","2,4%","2,5%","2,4%","2,3%","2,4%","2,4%","2,3%","2,6%","2,3%","2,5%","2,2%","2,4%","2,3%"
Divinity,"2,2%","2,2%","2,2%","2,3%","2,1%","2,3%","2,2%","1,6%","2,8%","2,2%","2,3%","2,0%","2,2%","2,3%","2,1%","1,7%","2,1%","2,3%","2,2%","2,4%","2,2%","1,6%","1,9%","2,1%","2,4%","2,0%","2,4%","2,2%","2,1%","1,9%","2,3%","2,2%"
Energy,"3,1%","2,6%","2,6%","2,4%","2,4%","2,3%","2,7%","2,7%","2,5%","2,6%","2,7%","2,7%","2,5%","2,5%","2,9%","2,8%","2,5%","2,7%","2,4%","2,6%","2,4%","2,6%","2,8%","2,8%","2,4%","2,5%","2,5%","2,6%","3,0%","2,7%","2,9%","2,6%"
Boing,"1,6%","1,4%","0,8%",0.8%,"1,0%",0.8%,"1,1%","1,5%","1,1%","0,8%","1,1%","1,3%","0,9%","1,1%","1,3%","1,1%",0.8%,"1,0%","1,0%",0.8%,"1,2%","1,6%","1,3%","1,0%","1,0%","0,9%","0,9%","0,9%","1,7%","1,5%","1,5%","1,1%"
Be Mad,"1,1%","0,9%","0,8%",0.8%,0.8%,"1,0%","0,9%","1,0%","1,4%","1,1%","1,1%","0,8%","0,7%","1,0%","1,3%",0.8%,0.8%,"0,7%","1,0%","0,9%","1,0%","1,1%","0,9%",0.8%,"1,1%","0,8%","0,9%","0,9%","1,1%","0,9%","0,9%","0,9%"
Trece,"2,5%","2,2%","2,0%","2,1%","2,0%","2,1%","1,8%","2,0%","2,0%","2,3%","2,1%","2,2%","2,1%","2,1%","2,5%","2,2%","1,9%","1,9%","2,1%","2,2%","2,1%","2,1%","1,8%","2,3%","2,1%","2,3%","2,1%","1,8%","2,4%","2,3%","2,1%","2,1%"
DMAX,"1,7%","1,9%","1,5%","1,5%","1,6%","1,4%","1,3%","1,6%","1,7%","1,3%","1,4%","1,4%","1,4%","1,1%","1,9%","1,8%","1,3%","1,4%","1,4%","1,5%","1,3%","1,8%","1,8%","1,3%","1,4%","1,4%","1,4%","1,2%","1,6%","2,0%","1,5%","1,5%"
Paramount Network,"2,1%","1,9%","1,5%","1,3%","1,5%","1,5%","1,3%","1,5%","1,6%","1,3%","1,4%","1,8%","1,3%","1,3%","1,7%","2,3%","1,3%","1,3%","1,4%","1,4%","1,6%","1,7%","1,5%","1,2%","1,5%","1,5%","1,5%","1,1%","1,4%","1,3%","1,2%","1,5%"
Disney Channel,"0,7%","0,7%","0,6%","0,5%","0,5%","0,6%","0,7%","1,1%","0,9%","0,5%","0,6%","0,7%","0,5%","0,7%","1,0%","0,6%","0,4%","0,5%","0,5%","0,5%","0,7%","0,9%","0,7%","0,6%","0,5%","0,6%","0,5%","0,7%","0,9%","0,8%","0,8%","0,7%"
Ten,"0,7%","0,6%","0,9%",0.8%,"1,1%","1,0%","0,9%","0,6%","0,6%","0,9%","0,7%","1,0%","0,9%","0,9%",0.8%,"0,7%","0,9%","0,9%","1,0%","1,0%","0,7%","0,6%","0,7%",0.8%,"0,9%","0,9%","0,9%","0,9%","0,6%","0,6%","0,8%","0,8%"
DKISS,"1,4%","1,1%","1,2%","1,0%","1,0%","1,1%","1,4%","1,2%","1,2%","1,0%","0,9%","1,1%","1,2%","1,2%","1,2%","0,9%","1,1%","1,0%","0,9%","1,1%","1,2%","1,0%","1,0%","0,9%","1,0%","1,0%","1,2%","1,3%","1,1%","0,8%","1,0%","1,1%"
