Cadena,1 ​,2 ​,3 ​,4 ​,5 ​,6 ​,7 ​,8 ​,9 ​,10 ​,11 ​,12 ​,13 ​,14 ​,15 ​,16 ​,17 ​,18 ​,19 ​,20 ​,21 ​,22 ​,23 ​,24 ​,25 ​,26 ​,27 ​,28 ​,29 ​,30 ​,Media mensual
La 1,"7,7%","7,7%","8,7%","10,6%","7,4%","7,3%","7,9%","8,3%","8,6%","9,0%","9,4%","10,1%","6,9%","7,3%","7,1%","7,3%","9,2%","9,1%","12,2%","7,1%","7,5%","7,1%","7,1%","11,9%","9,2%","10,2%","13,5%","7,8%","8,4%","6,9%","8,6%"
Antena 3,"13,8%","13,2%","11,4%","11,7%","15,2%","14,3%","13,7%","15,3%","13,1%","10,1%","10,5%","14,9%","15,0%","15,1%","16,2%","13,1%","10,5%","10,3%","15,0%","15,8%","16,2%","17,3%","15,9%","12,1%","11,8%","15,2%","14,3%","15,9%","16,0%","16,3%","14,0%"
Telecinco,"11,0%","11,8%","9,5%","10,7%","12,3%","12,0%","11,1%","12,6%","12,2%","10,8%","11,4%","12,6%","12,1%","11,3%","12,0%","14,0%","10,7%","15,0%","11,9%","13,1%","13,2%","12,3%","12,4%","10,9%","11,4%","12,7%","13,0%","13,2%","11,8%","12,2%","12,1%"
Cuatro,"5,5%","4,5%","5,4%","4,9%","4,4%","4,5%","5,4%","4,8%","4,3%","4,5%","3,9%","4,3%","5,2%","4,2%","5,1%","4,9%","4,9%","5,7%","4,1%","4,4%","4,7%","4,9%","4,8%","5,4%","6,2%","4,8%","4,2%","5,2%","4,9%","3,9%","4,9%"
La Sexta,"6,1%","5,9%","4,2%","4,6%","6,5%","6,4%","6,5%","6,2%","5,9%","5,6%","5,3%","7,0%","7,1%","6,8%","6,1%","6,7%","5,3%","3,8%","6,3%","6,8%","6,6%","6,7%","6,7%","4,8%","4,1%","6,5%","6,1%","5,8%","6,2%","6,6%","5,9%"
La 2,"3,2%","2,9%","2,8%","3,0%","2,9%","3,3%","2,7%","3,0%","2,6%","3,3%","2,4%","3,2%","3,2%","3,1%","3,4%","3,0%","2,9%","2,9%","3,5%","3,9%","2,9%","3,2%","3,0%","2,8%","3,3%","3,1%","3,0%","3,4%","3,4%","2,5%","3,1%"
Clan,"0,9%","1,1%","1,1%","0,8%","0,8%","0,9%","0,9%","0,8%","0,9%","1,1%","0,9%","0,9%","0,8%","0,9%","1,1%","0,8%","1,1%","1,0%","0,9%","0,9%","1,1%","1,0%","0,8%","1,3%","1,0%","1,0%","0,9%","0,9%","0,9%","1,0%","1,0%"
24 horas,"0,8%","0,8%","1,2%","1,0%","0,8%","1,9%","0,7%","1,0%","1,0%","1,0%","1,0%","1,0%","1,0%","1,0%","0,9%","0,9%","1,1%","1,1%","1,6%","0,8%","1,2%","1,0%","0,9%","1,3%","1,5%","1,0%","1,1%","1,1%","1,0%","0,8%","1,1%"
TDP,"0,9%","1,0%","0,9%","1,1%","0,5%","0,9%","0,9%","1,2%","1,0%","1,4%","0,9%","0,4%","0,4%","0,4%","0,5%","0,4%","0,8%","0,7%","0,6%","0,4%","0,4%","0,4%","0,6%","0,5%","0,9%","0,4%","0,5%","0,4%","0,4%","0,3%","0,7%"
Neox,"1,7%","1,9%","1,8%","1,8%","1,9%","2,0%","1,7%","1,4%","2,1%","1,8%","2,2%","1,8%","1,9%","2,1%","1,7%","2,0%","2,0%","1,7%","1,6%","1,7%","1,8%","1,6%","1,4%","1,7%","2,3%","1,6%","1,6%","1,5%","1,6%","1,6%","1,8%"
Nova,"2,6%","2,5%","1,7%","1,2%","2,3%","2,3%","2,4%","2,5%","2,2%","1,4%","1,3%","2,2%","2,3%","2,4%","2,6%","2,4%","1,5%","1,3%","2,1%","2,5%","2,3%","2,6%","2,5%","1,8%","1,5%","2,4%","2,3%","2,5%","2,7%","2,5%","2,2%"
